latitude,longitude,weatherstationtype,weatherstationurl,weatherstationairportid,state
39.2620556,-123.7537778,AWOS A_V,http://weather.noaa.gov/,KLLR,CA
38.1933889,-121.7036389,AWOS A_V,http://weather.noaa.gov/,KO88,CA
30.4872097,-85.1137958,AWOS A_V,http://weather.noaa.gov/,KF95,FL
41.8336989,-89.4462133,AWOS A_V,http://weather.noaa.gov/,KC73,IL
39.3465833,-99.3046389,AWOS A_V,http://weather.noaa.gov/,KRCP,KS
36.7290278,-85.6523889,AWOS A_V,http://weather.noaa.gov/,KTZV,KY
44.4093887,-69.0118333,AWOS A_V,http://weather.noaa.gov/,KBST,ME
44.4251667,-70.8099167,AWOS A_V,http://weather.noaa.gov/,K0B1,ME
44.04506,-70.7156361,AWOS A_V,http://weather.noaa.gov/,01EQ,ME
43.8923551,-69.9388297,AWOS A_V,http://weather.noaa.gov/,KBXM,ME
44.7155,-69.8664722,AWOS A_V,http://weather.noaa.gov/,KOWK,ME
44.9101,-67.0127,AWOS A_V,http://weather.noaa.gov/,KEPM,ME
44.7031111,-67.4786111,AWOS A_V,http://weather.noaa.gov/,KMVM,ME
45.2006667,-67.5643889,AWOS A_V,http://weather.noaa.gov/,KPNN,ME
43.1274376,-85.6791296,AWOS A_V,http://weather.noaa.gov/,K8D4,MI
39.7713611,-93.0127778,AWOS A_V,http://weather.noaa.gov/,KMO8,MO
46.1534145,-112.8677346,AWOS A_V,http://weather.noaa.gov/,K3U3,MT
48.5921111,-109.2506111,AWOS A_V,http://weather.noaa.gov/,KS71,MT
46.3878333,-112.7649444,AWOS A_V,http://weather.noaa.gov/,K38S,MT
46.2711508,-106.6239021,AWOS A_V,http://weather.noaa.gov/,K1S3,MT
48.1344167,-105.1621389,AWOS A_V,http://weather.noaa.gov/,KPO1,MT
39.4990833,-118.74875,AWOS A_V,http://weather.noaa.gov/,KFLX,NV
41.9758293,-114.6580158,AWOS A_V,http://weather.noaa.gov/,K06U,NV
39.6674722,-74.7577222,AWOS A_V,http://weather.noaa.gov/,KN81,NJ
40.0668889,-74.1775556,AWOS A_V,http://weather.noaa.gov/,KN12,NJ
39.2634792,-74.6074764,AWOS A_V,http://weather.noaa.gov/,K26N,NJ
44.8536667,-74.3289444,AWOS A_V,http://weather.noaa.gov/,KMAL,NY
35.1698889,-101.8258611,AWOS A_V,http://weather.noaa.gov/,KTDW,TX
