latitude,longitude,weatherstationtype,weatherstationurl,weatherstationairportid,state
58.1121594,-135.451805,AWOS III,http://weather.noaa.gov/,POOH,AK
65.9927722,-153.7034889,AWOS III,https://aviationweather.gov/metar/data?ids=paim&format=raw&date=&hours=36,PAIM,AK
31.9994444,-110.3579722,AWOS III,http://weather.noaa.gov/,KE95,AZ
33.4204167,-112.6861808,AWOS III,https://www.aviationweather.gov/metar/data?ids=KBXK&format=raw&date=0&hours=36,KBXK,AZ
34.7300556,-112.00351389,AWOS III,http://weather.noaa.gov/,KP52,AZ
33.5269,-112.2951,AWOS III,https://www.aviationweather.gov/metar/data?ids=KGEU&format=raw&date=0&hours=36,KGEU,AZ
33.3531389,-110.6673611,AWOS III,http://weather.noaa.gov/,KP13,AZ
32.9570386,-109.2111623,AWOS III,http://weather.noaa.gov/,KCFT,AZ
34.9407,-110.1385,AWOS III,http://weather.noaa.gov/,KP14,AZ
34.5711,-114.3583,AWOS III,https://www.aviationweather.gov/metar/data?ids=KHII&format=raw&date=0&hours=36,KHII,AZ
32.4096,-111.2184,AWOS III,https://www.aviationweather.gov/metar/data?ids=KAVQ&format=raw&date=0&hours=36,KAVQ,AZ
32.5098333,-111.3253333,AWOS III,http://weather.noaa.gov/,KMZJ,AZ
32.9905486,-111.9189014,AWOS III,https://www.aviationweather.gov/metar/data?ids=KA39&format=raw&date=0&hours=36,KA39,AZ
33.3078,-111.6555,AWOS III,https://www.aviationweather.gov/metar/data?ids=KIWA&format=raw&date=0&hours=36,KIWA,AZ
34.2655,-110.0057,AWOS III,https://www.aviationweather.gov/metar/data?ids=KSOW&format=raw&date=0&hours=36,KSOW,AZ
32.1422,-111.1746,AWOS III,https://www.aviationweather.gov/metar/data?ids=KRYN&format=raw&date=0&hours=36,KRYN,AZ
33.9706293,-112.7950898,AWOS III,http://weather.noaa.gov/,KE25,AZ
35.3022,-112.1941,AWOS III,https://www.aviationweather.gov/metar/data?ids=KCMR&format=raw&date=0&hours=36,KCMR,AZ
33.6227992,-92.76339,AWOS III,https://www.aviationweather.gov/metar/data?ids=KCDH&format=raw&date=0&hours=36,KCDH,AR
35.59775,-92.4515833,AWOS III,https://www.aviationweather.gov/metar/data?ids=KCCA&format=raw&date=0&hours=36,KCCA,AR
36.4042314,-90.6479264,AWOS III,https://www.aviationweather.gov/metar/data?ids=K4M9&format=raw&date=0&hours=36,K4M9,AR
34.5454,-94.2027,AWOS III,https://www.aviationweather.gov/metar/data?ids=KMEZ&format=raw&date=0&hours=36,KMEZ,AR
36.1764,-94.1193,AWOS III,https://www.aviationweather.gov/metar/data?ids=KASG&format=raw&date=0&hours=36,KASG,AR
37.3805,-120.5682,AWOS III,https://www.aviationweather.gov/metar/data?ids=KMER&format=raw&date=0&hours=36,KMER,CA
38.9548,-121.0817,AWOS III,https://www.aviationweather.gov/metar/data?ids=KAUN&format=raw&date=0&hours=36,KAUN,CA
34.2638,-116.856,AWOS III,https://www.aviationweather.gov/metar/data?ids=KL35&format=raw&date=0&hours=36,KL35,CA
37.8284,-121.6258,AWOS III,https://aviationweather.gov/metar/data?ids=kC83&format=raw&hours=36&taf=off&layout=on&date=0,KC83,CA
40.2823611,-121.2411667,AWOS III,http://weather.noaa.gov/,KO05,CA
39.7954,-121.8584,AWOS III,https://www.aviationweather.gov/metar/data?ids=KCIC&format=raw&date=0&hours=36,KCIC,CA
38.0304,-120.4146,AWOS III,https://www.aviationweather.gov/metar/data?ids=KO22&format=raw&date=0&hours=36,KO22,CA
38.5315,-121.7865,AWOS III,https://www.aviationweather.gov/metar/data?ids=KEDU&format=raw&date=0&hours=36,KEDU,CA
38.5793889,-121.85694444,AWOS III,http://weather.noaa.gov/,KDWA,CA
40.5539444,-124.1326667,AWOS III,https://www.aviationweather.gov/metar/data?ids=KFOT&format=raw&date=0&hours=36,KFOT,CA
36.7324,-119.8199,AWOS III,https://www.aviationweather.gov/metar/data?ids=KFCH&format=raw&date=0&hours=36,KFCH,CA
40.0854333,-123.8141458,AWOS III,http://weather.noaa.gov/,KO16,CA
39.224,-121.0031,AWOS III,https://www.aviationweather.gov/metar/data?ids=KGOO&format=raw&date=0&hours=36,KGOO,CA
40.266,-120.1506666,AWOS III,http://weather.noaa.gov/,KAHC,CA
36.8933,-121.4103,AWOS III,https://www.aviationweather.gov/metar/data?ids=KCVH&format=raw&date=0&hours=36,KCVH,CA
38.3768,-120.7939,AWOS III,https://www.aviationweather.gov/metar/data?ids=KJAQ&format=raw&date=0&hours=36,KJAQ,CA
38.9906,-122.9007,AWOS III,http://weather.noaa.gov/,K1O2,CA
38.9092,-121.3513,AWOS III,https://www.aviationweather.gov/metar/data?ids=KLHM&format=raw&date=0&hours=36,KLHM,CA
36.5883,-118.052,AWOS III,http://weather.noaa.gov/,KO26,CA
37.063889,-120.8698611,AWOS III,http://weather.noaa.gov/,KLSN,CA
37.624,-118.8378,AWOS III,https://www.aviationweather.gov/metar/data?ids=KMMH&format=raw&date=0&hours=36,KMMH,CA
37.5109,-120.0395,AWOS III,http://weather.noaa.gov/,KMPI,CA
35.0589422,-118.1506084,AWOS III,https://www.aviationweather.gov/metar/data?ids=KMHV&format=raw&date=0&hours=36,KMHV,CA
33.5742,-117.1285,AWOS III,https://www.aviationweather.gov/metar/data?ids=KF70&format=raw&date=0&hours=36,KF70,CA
36.1631,-120.2938,AWOS III,http://weather.noaa.gov/,KC80,CA
35.1015292,-120.6223153,AWOS III,https://aviationweather.gov/metar/data?ids=kl52&format=raw&date=&hours=36,KL52,CA
38.7242118,-120.7533404,AWOS III,https://www.aviationweather.gov/metar/data?ids=KPVF&format=raw&date=0&hours=36,KPVF,CA
38.5539,-121.2976,AWOS III,https://www.aviationweather.gov/metar/data?ids=KMHR&format=raw&date=0&hours=36,KMHR,CA
38.6676,-121.4006,AWOS III,https://www.aviationweather.gov/metar/data?ids=KMCC&format=raw&date=0&hours=36,KMCC,CA
34.0954,-117.2349,AWOS III,https://www.aviationweather.gov/metar/data?ids=KSBD&format=raw&date=0&hours=36,KSBD,CA
34.6068,-120.0756,AWOS III,https://www.aviationweather.gov/metar/data?ids=KIZA&format=raw&date=0&hours=36,KIZA,CA
35.5074754,-119.1921343,AWOS III,http://weather.noaa.gov/,KMIT,CA
40.3757,-120.5727,AWOS III,https://aviationweather.gov/metar/data?ids=KCVE&format=raw&hours=36&taf=off&layout=on&date=0,KSVE,CA
37.689,-121.4416,AWOS III,https://aviationweather.gov/metar/data?ids=ktcy&format=raw&date=&hours=36,KTCY,CA
40.98275,-122.6937222,AWOS III,https://www.aviationweather.gov/metar/data?ids=KO86&format=raw&date=0&hours=36,KO86,CA
34.5975,-117.383,AWOS III,https://www.aviationweather.gov/metar/data?ids=KVCV&format=raw&date=0&hours=36,KVCV,CA
40.74725,-122.9223333,AWOS III,https://aviationweather.gov/metar/data?ids=KO54&format=raw&hours=36&taf=off&layout=on&date=0,KO54,CA
38.7867,-108.0728,AWOS III,https://www.aviationweather.gov/metar/data?ids=KAJZ&format=raw&date=0&hours=36,KAJZ,CO
40.0394,-105.2258,AWOS III,https://www.aviationweather.gov/metar/data?ids=KBDU&format=raw&date=0&hours=36,KBDU,CO
38.8142,-106.1207,AWOS III,https://www.aviationweather.gov/metar/data?ids=KAEJ&format=raw&date=0&hours=36,KAEJ,CO
38.428,-105.1058,AWOS III,https://aviationweather.gov/metar/data?ids=k1v6&format=raw&date=&hours=36,K1V6,CO
39.7841944,-104.5376389,AWOS III,https://aviationweather.gov/metar/data?ids=kcfo&format=raw&date=&hours=36,KCFO,CO
39.868888,-105.5533333,AWOS III,https://aviationweather.gov/metar/data?ids=KC99&format=raw&date=&hours=36,KC99,CO
39.9088,-105.1172,AWOS III,https://www.aviationweather.gov/metar/data?ids=KBJC&format=raw&date=0&hours=36,KBJC,CO
40.01025,-105.0480833,AWOS III,https://www.aviationweather.gov/metar/data?ids=KEIK&format=raw&date=0&hours=36,KEIK,CO
40.3336,-103.8038,AWOS III,https://www.aviationweather.gov/metar/data?ids=KFMM&format=raw&date=0&hours=36,KFMM,CO
40.5694,-102.2728,AWOS III,https://www.aviationweather.gov/metar/data?ids=KHEQ&format=raw&date=0&hours=36,KHEQ,CO
40.0537,-106.3689,AWOS III,https://www.aviationweather.gov/metar/data?ids=K20V&format=raw&date=0&hours=36,K20V,CO
