latitude,longitude,weatherstationtype,weatherstationurl,weatherstationairportid,state
34.6594167,-87.3489167,AWOS IIIP,http://weather.noaa.gov/,K9A4,AL
32.4638333,-87.9540556,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=KDYA&format=raw&date=0&hours=36,KDYA,AL
32.5105,-87.3847778,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=KA08&format=raw&date=0&hours=36,KA08,AL
33.5588333,-86.2490556,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=KPLR&format=raw&date=0&hours=36,KPLR,AL
32.4387,-86.5126944,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=K1A9&format=raw&date=0&hours=36,K1A9,AL
51.878,-176.646,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PADK&format=raw&date=0&hours=36,PADK,AK
56.939,-154.183,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAKH&format=raw&date=0&hours=36,PAKH,AK
54.1446,-165.6041,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAUT&format=raw&date=0&hours=36,PAUT,AK
67.01141,-157.8543,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAFM&format=raw&date=0&hours=36,PAFM,AK
68.133,-151.739,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAKP&format=raw&date=0&hours=36,PAKP,AK
57.504,-134.585,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAGN&format=raw&date=0&hours=36,PAGN,AK
61.58,-159.5333,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PANI&format=raw&date=0&hours=36,PANI,AK
62.6333,-160.184,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PANV&format=raw&date=0&hours=36,PANV,AK
68.11,-145.57,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PARC&format=raw&date=0&hours=36,PARC,AK
52.2167,-174.2000024,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAAK&format=raw&date=0&hours=36,PAAK,AK
70.46728,-157.435736,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PATQ&format=raw&date=0&hours=36,PATQ,AK
70.134,-143.58,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PABA&format=raw&date=0&hours=36,PABA,AK
61.415,-149.53,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PABV&format=raw&date=0&hours=36,PABV,AK
65.331,-166.466,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PFKT&format=raw&date=0&hours=36,PFKT,AK
65.921572,-160.13,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PABL&format=raw&date=0&hours=36,PABL,AK
61.541,-165.584,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAVA&format=raw&date=0&hours=36,PAVA,AK
56.32011,-158.37,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAJC&format=raw&date=0&hours=36,PAJC,AK
58.834,-158.529,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PFCL&format=raw&date=0&hours=36,PFCL,AK
59.033,-158.51,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PADL&format=raw&date=0&hours=36,PADL,AK
58.1831,-157.375,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAII&format=raw&date=0&hours=36,PAII,AK
64.615,-162.271,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PFEL&format=raw&date=0&hours=36,PFEL,AK
62.783,-164.484,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAEM&format=raw&date=0&hours=36,PAEM,AK
61.9397578,-147.1673048,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAZK&format=raw&date=0&hours=36,PAZK,AK
54.8475,-163.4103,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAKF&format=raw&date=0&hours=36,PAKF,AK
66.57149,-145.25042,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PFYU&format=raw&date=0&hours=36,PFYU,AK
64.736,-156.937,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAGA&format=raw&date=0&hours=36,PAGA,AK
63.7666,-171.73,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAGM&format=raw&date=0&hours=36,PAGM,AK
64.5554,-163.01,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAGL&format=raw&date=0&hours=36,PAGL,AK
58.42511,-135.7234,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAGS&format=raw&date=0&hours=36,PAGS,AK
62.1883,-159.7749,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAHC&format=raw&date=0&hours=36,PAHC,AK
58.0961,-135.4097,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAOH&format=raw&date=0&hours=36,PAOH,AK
61.52386,-166.14664,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAHP&format=raw&date=0&hours=36,PAHP,AK
65.68,-156.35,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAHL&format=raw&date=0&hours=36,PAHL,AK
55.21,-132.81,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAHY&format=raw&date=0&hours=36,PAHY,AK
59.324,-155.902,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAIG&format=raw&date=0&hours=36,PAIG,AK
56.96,-133.91,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAFE&format=raw&date=0&hours=36,PAFE,AK
61.5363,-160.3413,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PALG&format=raw&date=0&hours=36,PALG,AK
66.976,-160.4365,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAIK&format=raw&date=0&hours=36,PAIK,AK
55.116,-162.266,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAVC&format=raw&date=0&hours=36,PAVC,AK
59.933,-164.031,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAKI&format=raw&date=0&hours=36,PAKI,AK
59.7266,-157.2595,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAJZ&format=raw&date=0&hours=36,PAJZ,AK
64.93949,-161.15427,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAKK&format=raw&date=0&hours=36,PAKK,AK
60.79,-161.444,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PFKW&format=raw&date=0&hours=36,PFKW,AK
58.932,-158.902,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAMB&format=raw&date=0&hours=36,PAMB,AK
61.864,-162.026,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PADM&format=raw&date=0&hours=36,PADM,AK
63.73,-148.905,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAIN&format=raw&date=0&hours=36,PAIN,AK
60.37,-166.269,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAMY&format=raw&date=0&hours=36,PAMY,AK
55.119,-131.578,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAMM&format=raw&date=0&hours=36,PAMM,AK
59.449,-146.32,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAMD&format=raw&date=0&hours=36,PAMD,AK
63.8831,-152.31,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAMH&format=raw&date=0&hours=36,PAMH,AK
62.0954,-163.6821,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAMO&format=raw&date=0&hours=36,PAMO,AK
60.69,-161.979,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PANA&format=raw&date=0&hours=36,PANA,AK
56.008,-161.16,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAOU&format=raw&date=0&hours=36,PAOU,AK
59.452,-157.373,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PANW&format=raw&date=0&hours=36,PANW,AK
63.019,-154.359,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAFS&format=raw&date=0&hours=36,PAFS,AK
67.565,-162.972,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAWN&format=raw&date=0&hours=36,PAWN,AK
66.818,-161.023,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PFNO&format=raw&date=0&hours=36,PFNO,AK
60.906,-162.441,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PPIT&format=raw&date=0&hours=36,PPIT,AK
56.81,-132.94,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAPG&format=raw&date=0&hours=36,PAPG,AK
57.58,-157.572,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAPN&format=raw&date=0&hours=36,PAPN,AK
59.0114,-161.8197,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAPM&format=raw&date=0&hours=36,PAPM,AK
68.34,-166.79,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAPO&format=raw&date=0&hours=36,PAPO,AK
69.7329,-163.0053,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PPIZ&format=raw&date=0&hours=36,PPIZ,AK
56.954,-158.63077,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAPH&format=raw&date=0&hours=36,PAPH,AK
59.755,-161.845,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAQH&format=raw&date=0&hours=36,PAQH,AK
64.727,-155.47,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PARY&format=raw&date=0&hours=36,PARY,AK
61.7749,-161.3194,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PARS&format=raw&date=0&hours=36,PARS,AK
62.051,-163.31,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PASM&format=raw&date=0&hours=36,PASM,AK
55.31,-160.52,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PASD&format=raw&date=0&hours=36,PASD,AK
63.684,-170.484,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PASA&format=raw&date=0&hours=36,PASA,AK
61.8445,-165.5737,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PACM&format=raw&date=0&hours=36,PACM,AK
66.601,-159.984,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PASK&format=raw&date=0&hours=36,PASK,AK
62.692,-159.569,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAHX&format=raw&date=0&hours=36,PAHX,AK
64.3711,-161.224,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PFSH&format=raw&date=0&hours=36,PFSH,AK
66.248,-166.084,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PASH&format=raw&date=0&hours=36,PASH,AK
66.888,-157.162,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAGH&format=raw&date=0&hours=36,PAGH,AK
61.703,-157.16,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PASL&format=raw&date=0&hours=36,PASL,AK
60.47,-151.033,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PASX&format=raw&date=0&hours=36,PASX,AK
58.702,-157.003,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PFWS&format=raw&date=0&hours=36,PFWS,AK
63.49,-162.11,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAMK&format=raw&date=0&hours=36,PAMK,AK
65.24,-166.339,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PATE&format=raw&date=0&hours=36,PATE,AK
59.05,-160.383,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PATG&format=raw&date=0&hours=36,PATG,AK
60.541,-165.087,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAOO&format=raw&date=0&hours=36,PAOO,AK
63.883,-160.796,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAUN&format=raw&date=0&hours=36,PAUN,AK
53.8862,-166.54,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PADU&format=raw&date=0&hours=36,PADU,AK
61.1333,-146.245,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAVD&format=raw&date=0&hours=36,PAVD,AK
65.623,-168.095,AWOS IIIP,https://www.aviationweather.gov/metar/data?ids=PAIW&format=raw&date=0&hours=36,PAIW,AK
