latitude,longitude,weatherstationtype,weatherstationurl,weatherstationairportid,state
34.2291,-86.2558,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=K8A0&format=raw&date=0&hours=36,K8A0,AL
32.9147,-85.963,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KALX&format=raw&date=0&hours=36,KALX,AL
32.61,-85.44,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KAUO&format=raw&date=0&hours=36,KAUO,AL
33.34,-86.92,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KEKY&format=raw&date=0&hours=36,KEKY,AL
31.0506,-87.0656,AWOS IIIP_T,http://weather.noaa.gov/,K12J,AL
34.2686944,-86.8580278,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KCMD&format=raw&date=0&hours=36,KCMD,AL
31.2997222,-85.8998333,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KEDN&format=raw&date=0&hours=36,KEDN,AL
30.4605,-87.8770278,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KCQF&format=raw&date=0&hours=36,KCQF,AL
34.4737,-85.7214,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=K4A9&format=raw&date=0&hours=36,K4A9,AL
33.9702,-86.087,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KGAD&format=raw&date=0&hours=36,KGAD,AL
34.28035,-87.60044,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=K1M4&format=raw&date=0&hours=36,K1M4,AL
34.8614,-86.5575,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KMDQ&format=raw&date=0&hours=36,KMDQ,AL
30.2905,-87.6718,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KJKA&format=raw&date=0&hours=36,KJKA,AL
33.902,-87.3142,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KJFX&format=raw&date=0&hours=36,KJFX,AL
33.1718,-86.3055,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KSCD&format=raw&date=0&hours=36,KSCD,AL
34.6886944,-86.0059444,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=K4A6&format=raw&date=0&hours=36,K4A6,AL
32.3439467,-86.9878056,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KSEM&format=raw&date=0&hours=36,KSEM,AL
33.5699,-86.0509,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KASN&format=raw&date=0&hours=36,KASN,AL
60.1984808,-154.3230492,AWOS IIIP_T,https://aviationweather.gov/metar/data?ids=pakx&format=raw&date=&hours=36,PAKX,AK
32.9529,-111.76667,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KCGZ&format=raw&date=0&hours=36,KCGZ,AZ
33.2691,-111.8111,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KCHD&format=raw&date=0&hours=36,KCHD,AZ
36.9599,-113.0139,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KAZC&format=raw&date=0&hours=36,KAZC,AZ
32.9360233,-111.4264734,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KP08&format=raw&date=0&hours=36,KP08,AZ
35.9861111,-113.8169167,AWOS IIIP_T,http://weather.noaa.gov/,K1G4,AZ
36.7164444,-110.2284444,AWOS IIIP_T,http://weather.noaa.gov/,K0V7,AZ
35.1559722,-114.5594444,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KIFP&format=raw&date=0&hours=36,KIFP,AZ
34.1498333,-114.2678333,AWOS IIIP_T,http://weather.noaa.gov/,KP20,AZ
34.2568,-111.3393,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KPAN&format=raw&date=0&hours=36,KPAN,AZ
