latitude,longitude,weatherstationtype,weatherstationurl,weatherstationairportid,state
32.99,-106.9674166,AWOS IIIP,http://weather.noaa.gov/,9NM9,NM
36.45817,-105.67242,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KSKX&format=raw&date=0&hours=36,KSKX,NM
33.237,-107.272,ASOS,https://www.aviationweather.gov/metar/data?ids=KTCS&format=raw&date=0&hours=36,KTCS,NM
35.183,-103.603,ASOS,https://www.aviationweather.gov/metar/data?ids=KTCC&format=raw&date=0&hours=36,KTCC,NM
42.748,-73.802,ASOS,https://www.aviationweather.gov/metar/data?ids=KALB&format=raw&date=0&hours=36,KALB,NY
43.03176,-78.16966,AWOS IIIP_T,https://aviationweather.gov/metar/data?ids=kgvq&format=raw&date=0&hours=36,KGVQ,NY
42.209,-75.98,ASOS,https://www.aviationweather.gov/metar/data?ids=KBGM&format=raw&date=0&hours=36,KBGM,NY
42.941,-78.732,ASOS,https://www.aviationweather.gov/metar/data?ids=KBUF&format=raw&date=0&hours=36,KBUF,NY
42.9072,-77.3216,AWOS IIIP,http://weather.noaa.gov/,KIUA,NY
42.5926,-76.2149,AWOS III,https://www.aviationweather.gov/metar/data?ids=KN03&format=raw&date=0&hours=36,KN03,NY
42.571,-77.713,ASOS,https://www.aviationweather.gov/metar/data?ids=KDSV&format=raw&date=0&hours=36,KDSV,NY
42.493,-79.272,ASOS,https://www.aviationweather.gov/metar/data?ids=KDKK&format=raw&date=0&hours=36,KDKK,NY
40.9594167,-72.2516667,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KHTO&format=raw&date=0&hours=36,KHTO,NY
42.16,-76.892,ASOS,https://www.aviationweather.gov/metar/data?ids=KELM&format=raw&date=0&hours=36,KELM,NY
42.0785,-76.0963,AWOS III,http://weather.noaa.gov/,KCZG,NY
40.729,-73.414,ASOS,https://www.aviationweather.gov/metar/data?ids=KFRG&format=raw&date=0&hours=36,KFRG,NY
43.119,-77.672,ASOS,https://www.aviationweather.gov/metar/data?ids=KROC&format=raw&date=0&hours=36,KROC,NY
43.351,-76.388,ASOS,https://www.aviationweather.gov/metar/data?ids=KFZY&format=raw&date=0&hours=36,KFZY,NY
43.341,-73.61,ASOS,https://www.aviationweather.gov/metar/data?ids=KGFL&format=raw&date=0&hours=36,KGFL,NY
42.8434444,-75.5611944,AWOS IIIP,https://aviationweather.gov/metar/data?ids=kvgc&format=raw&hours=36&taf=off&layout=on,KVGC,NY
42.3821,-77.6821,AWOS III,http://weather.noaa.gov/,KHTF,NY
42.2913,-73.7103,AWOS III,http://weather.noaa.gov/,K1B1,NY
42.491031,-76.458444,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KITH&format=raw&date=0&hours=36,KITH,NY
42.15339,-79.25803,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KJHW&format=raw&date=0&hours=36,KJHW,NY
42.9981944,-74.3295556,AWOS III,https://aviationweather.gov/metar/data?ids=KNY0&format=raw&date=0&hours=36,KNY0,NY
44.8536667,-74.3289444,AWOS A_V,http://weather.noaa.gov/,KMAL,NY
44.936,-74.846,ASOS,https://www.aviationweather.gov/metar/data?ids=KMSS&format=raw&date=0&hours=36,KMSS,NY
41.51,-74.265,ASOS,https://www.aviationweather.gov/metar/data?ids=KMGJ&format=raw&date=0&hours=36,KMGJ,NY
41.70165,-74.79501,AWOS IIIP_T,https://www.aviationweather.gov/metar/data?ids=KMSV&format=raw&date=0&hours=36,KMSV,NY
40.64,-73.779,ASOS,https://www.aviationweather.gov/metar/data?ids=KJFK&format=raw&date=0&hours=36,KJFK,NY
40.777,-73.873,ASOS,https://www.aviationweather.gov/metar/data?ids=KLGA&format=raw&date=0&hours=36,KLGA,NY
40.795,-73.1,ASOS,https://www.aviationweather.gov/metar/data?ids=KISP&format=raw&date=0&hours=36,KISP,NY
43.107,-78.946,ASOS,https://www.aviationweather.gov/metar/data?ids=KIAG&format=raw&date=0&hours=36,KIAG,NY
42.5666,-75.5241,AWOS III,http://weather.noaa.gov/,KOIC,NY
